event_id,prompt,history,summary,his_len,type,instruction,output,response
786820,"Imagine you're in a situation where you need to report a safety concern to your local police department. You're speaking with a dispatcher from the police department, who is trained to provide helpful and detailed guidance, as well as necessary emotional support. Describe your interaction with the dispatcher, including what safety concern you're reporting and how the dispatcher assists you.
The user requested a ride to Metro Center.


 
 User:  Hello, I need a ride to metro center, can somebody help me. 
 Dispatcher:  NCR Test Of the NCR Centers - Non Emergency 
 User: ","['User', 'Hello, I need a ride to metro center, can somebody help me.']","The user requested a ride to Metro Center.
",10,EmergencyMessage,NCR Test Of the NCR Centers - Non Emergency,Test received,"Hello? 
"
786820,"Imagine you're in a situation where you need to report a safety concern to your local police department. You're speaking with a dispatcher from the police department, who is trained to provide helpful and detailed guidance, as well as necessary emotional support. Describe your interaction with the dispatcher, including what safety concern you're reporting and how the dispatcher assists you.
The user requested a ride to Metro Center.


 
 User:  Hello, I need a ride to metro center, can somebody help me. 
 Dispatcher:  NCR Test Of the NCR Centers - Non Emergency 
 User: ","['Dispatcher', 'NCR Test Of the NCR Centers - Non Emergency']","The user requested a ride to Metro Center.
",10,EmergencyMessage,NCR Test Of the NCR Centers - Non Emergency,Test received,"Hello? 
"
786820,"Imagine you're in a situation where you need to report a safety concern to your local police department. You're speaking with a dispatcher from the police department, who is trained to provide helpful and detailed guidance, as well as necessary emotional support. Describe your interaction with the dispatcher, including what safety concern you're reporting and how the dispatcher assists you.
The user requested a ride to Metro Center.


 
 User:  Hello, I need a ride to metro center, can somebody help me. 
 Dispatcher:  NCR Test Of the NCR Centers - Non Emergency 
 User: ","['User', 'Test received']","The user requested a ride to Metro Center.
",10,EmergencyMessage,NCR Test Of the NCR Centers - Non Emergency,Test received,"Hello? 
"
786820,"Imagine you're in a situation where you need to report a safety concern to your local police department. You're speaking with a dispatcher from the police department, who is trained to provide helpful and detailed guidance, as well as necessary emotional support. Describe your interaction with the dispatcher, including what safety concern you're reporting and how the dispatcher assists you.
The user requested a ride to Metro Center.


 
 User:  Hello, I need a ride to metro center, can somebody help me. 
 Dispatcher:  NCR Test Of the NCR Centers - Non Emergency 
 User: ","[['User', 'Hello, I need a ride to metro center, can somebody help me.'], ['Dispatcher', 'NCR Test Of the NCR Centers - Non Emergency'], ['User', 'Test received']]","The user requested a ride to Metro Center.
",10,EmergencyMessage,NCR Test Of the NCR Centers - Non Emergency,Test received,"Hello? 
"
788402,"Imagine you're in a situation where you need to report a safety concern to your local police department. You're speaking with a dispatcher from the police department, who is trained to provide helpful and detailed guidance, as well as necessary emotional support. Describe your interaction with the dispatcher, including what safety concern you're reporting and how the dispatcher assists you.
The user reported a noise complaint from a neighboring apartment complex. The user provided their location at the University Heights apartments near City Park.


 
 User:  Music coming loudly from the park place area either across the street or from the complex 
 Dispatcher:  Thank you. We will send an officer. 
 Dispatcher:  Do you mean the University Heights apartments on campus? 
 User:  Yes! 
 User: ","[['User', 'Music coming loudly from the park place area either across the street or from the complex'], ['Dispatcher', 'Thank you. We will send an officer.'], ['Dispatcher', 'Do you mean the University Heights apartments on campus?'], ['User', 'Yes!'], ['User', 'The one near City Park']]","The user reported a noise complaint from a neighboring apartment complex. The user provided their location at the University Heights apartments near City Park.
",10,NoiseDisturbance,Yes!,The one near City Park,"It's been going on for hours and it's super loud. 
"
789319,"Imagine you're in a situation where you need to report a safety concern to your local police department. You're speaking with a dispatcher from the police department, who is trained to provide helpful and detailed guidance, as well as necessary emotional support. Describe your interaction with the dispatcher, including what safety concern you're reporting and how the dispatcher assists you.
The user reported a loud music and vibrations that were shaking through their entire apartment. They had been going on for the past two hours and were coming from somewhere between [New York City Police Department] and [New York City Fire Department]. The music was extremely loud and the vibrations were shaking through their entire apartment. They were not sure if it was from a building or from a car but it appeared to be music of some sort. The user was trying to sleep and asked the dispatcher to ask them to stop the music or the pounding noise whatever they were doing.


 
 User:  Hi there is extremely loud music coming from somewhere on crown street between [New York City Police Department] and [New York City Fire Department]'s The music is extremely loud and the vibrations are shaking through my entire apartment 
 User: ","[['User', ""Hi there is extremely loud music coming from somewhere on crown street between [New York City Police Department] and [New York City Fire Department]'s The music is extremely loud and the vibrations are shaking through my entire apartment""], ['User', 'This has been going in for the last two hours']]","The user reported a loud music and vibrations that were shaking through their entire apartment. They had been going on for the past two hours and were coming from somewhere between [New York City Police Department] and [New York City Fire Department]. The music was extremely loud and the vibrations were shaking through their entire apartment. They were not sure if it was from a building or from a car but it appeared to be music of some sort. The user was trying to sleep and asked the dispatcher to ask them to stop the music or the pounding noise whatever they were doing.
",10,NoiseDisturbance,Hi there is extremely loud music coming from somewhere on crown street between [New York City Police Department] and [New York City Fire Department]'s The music is extremely loud and the vibrations are shaking through my entire apartment,This has been going in for the last two hours,"I'm trying to sleep and I can't because of the noise. Can you please ask them to stop the music or the pounding noise whatever they are doing? 
"
789319,"Imagine you're in a situation where you need to report a safety concern to your local police department. You're speaking with a dispatcher from the police department, who is trained to provide helpful and detailed guidance, as well as necessary emotional support. Describe your interaction with the dispatcher, including what safety concern you're reporting and how the dispatcher assists you.
The user reported a loud music and vibrations that were shaking through their entire apartment. They had been going on for the past two hours and were coming from somewhere between [New York City Police Department] and [New York City Fire Department]. The music was extremely loud and the vibrations were shaking through their entire apartment. They were not sure if it was from a building or from a car but it appeared to be music of some sort. The user was trying to sleep and asked the dispatcher to ask them to stop the music or the pounding noise whatever they were doing.


 
 User:  Hi there is extremely loud music coming from somewhere on crown street between [New York City Police Department] and [New York City Fire Department]'s The music is extremely loud and the vibrations are shaking through my entire apartment 
 User:  This has been going in for the last two hours 
 User:  I don’t know if it’s from a building or from a car but it appears to be music if some sort 
 Dispatcher:  We will inform [NYPD] they are in the area for [John Doe] closings...would you like to speak to an officer? 
 User:  I can feel vibrations that rattle throughout my apartment Almost like some kind of pounding noise possibly from some sort of base speaker 
 User:  No I[John Doe] trying to sleep, would you please ask them to stop the music or the pounding noise whatever they are doing 
 Dispatcher:  ok no problem... 
 User: ","[['User', ""Hi there is extremely loud music coming from somewhere on crown street between [New York City Police Department] and [New York City Fire Department]'s The music is extremely loud and the vibrations are shaking through my entire apartment""], ['User', 'This has been going in for the last two hours'], ['User', 'I don’t know if it’s from a building or from a car but it appears to be music if some sort'], ['Dispatcher', 'We will inform [NYPD] they are in the area for [John Doe] closings...would you like to speak to an officer?'], ['User', 'I can feel vibrations that rattle throughout my apartment Almost like some kind of pounding noise possibly from some sort of base speaker'], ['User', 'No I[John Doe] trying to sleep, would you please ask them to stop the music or the pounding noise whatever they are doing'], ['Dispatcher', 'ok no problem...'], ['User', 'Thank you']]","The user reported a loud music and vibrations that were shaking through their entire apartment. They had been going on for the past two hours and were coming from somewhere between [New York City Police Department] and [New York City Fire Department]. The music was extremely loud and the vibrations were shaking through their entire apartment. They were not sure if it was from a building or from a car but it appeared to be music of some sort. The user was trying to sleep and asked the dispatcher to ask them to stop the music or the pounding noise whatever they were doing.
",10,NoiseDisturbance,ok no problem...,Thank you,"I can feel vibrations that rattle throughout my apartment Almost like some kind of pounding noise possibly from some sort of base speaker 
"
789428,"Imagine you're in a situation where you need to report a safety concern to your local police department. You're speaking with a dispatcher from the police department, who is trained to provide helpful and detailed guidance, as well as necessary emotional support. Describe your interaction with the dispatcher, including what safety concern you're reporting and how the dispatcher assists you.
The user reported a party at the [APARTMENT COMPLEX] area of the [CITY] apartment. The user requested that officers be sent to check out the party.


 
 User:  Hi, there is a party at the [APARTMENT COMPLEX] area of the [CITY] apartment. It's around four or five people. Can you please send officers to check out? Thanks! 
 Dispatcher:  Thank you for contacting [POLICE DEPARTMENT]. Is this a noise complaint? 
 User:  Yes it is 
 Dispatcher:  Did you wish to meet with officers? 
 User: ","[['User', ""Hi, there is a party at the [APARTMENT COMPLEX] area of the [CITY] apartment. It's around four or five people. Can you please send officers to check out? Thanks!""], ['Dispatcher', 'Thank you for contacting [POLICE DEPARTMENT]. Is this a noise complaint?'], ['User', 'Yes it is'], ['Dispatcher', 'Did you wish to meet with officers?'], ['User', 'No thanks']]","The user reported a party at the [APARTMENT COMPLEX] area of the [CITY] apartment. The user requested that officers be sent to check out the party.
",10,NoiseDisturbance,Did you wish to meet with officers?,No thanks,"No, I just wanted to report it. I don't want to get involved. 
"
789735,"Imagine you're in a situation where you need to report a safety concern to your local police department. You're speaking with a dispatcher from the police department, who is trained to provide helpful and detailed guidance, as well as necessary emotional support. Describe your interaction with the dispatcher, including what safety concern you're reporting and how the dispatcher assists you.
The user, John Smith, was being stalked through social media and was unsure of what to do. The dispatcher asked for the user's location and name, and requested that the user come to the office to speak with Mr. Joy. The user declined, stating that they were going to church.


 
 User:  what should I do is I'm being stalked not physically but through a social media 
 Dispatcher:  where are you 
 User:  In my room. I just need to know so I can know what to do 
 Dispatcher:  come over too the office 
 Dispatcher:  you will need too keep that tx too show mr.Joy 
 Dispatcher:  are you coming too the office and what is your name please may i ask 
 User:  John Smith 
 User: ","[['User', ""what should I do is I'm being stalked not physically but through a social media""], ['Dispatcher', 'where are you'], ['User', 'In my room. I just need to know so I can know what to do'], ['Dispatcher', 'come over too the office'], ['Dispatcher', 'you will need too keep that tx too show mr.Joy'], ['Dispatcher', 'are you coming too the office and what is your name please may i ask'], ['User', 'John Smith'], ['User', ""No I'm not coming to the office.""]]","The user, John Smith, was being stalked through social media and was unsure of what to do. The dispatcher asked for the user's location and name, and requested that the user come to the office to speak with Mr. Joy. The user declined, stating that they were going to church.
",10,EmergencyMessage,John Smith,No I'm not coming to the office.,"I'm going to church 
"
789735,"Imagine you're in a situation where you need to report a safety concern to your local police department. You're speaking with a dispatcher from the police department, who is trained to provide helpful and detailed guidance, as well as necessary emotional support. Describe your interaction with the dispatcher, including what safety concern you're reporting and how the dispatcher assists you.
The user, John Smith, was being stalked through social media and was unsure of what to do. The dispatcher asked for the user's location and name, and requested that the user come to the office to speak with Mr. Joy. The user declined, stating that they were going to church.


 
 User:  what should I do is I'm being stalked not physically but through a social media 
 Dispatcher:  where are you 
 User:  In my room. I just need to know so I can know what to do 
 Dispatcher:  come over too the office 
 Dispatcher:  you will need too keep that tx too show mr.Joy 
 Dispatcher:  are you coming too the office and what is your name please may i ask 
 User:  John Smith 
 User:  No I'm not coming to the office. 
 Dispatcher:  what hall are you in 
 User:  John Smith 
 Dispatcher:  please send your number for mr. Joy 
 User:  1234567890 
 Dispatcher:  yes.. and room number 
 User:  1234, 4567890 
 Dispatcher:  thanks.... you not coming too the office right 
 User: ","[['User', ""what should I do is I'm being stalked not physically but through a social media""], ['Dispatcher', 'where are you'], ['User', 'In my room. I just need to know so I can know what to do'], ['Dispatcher', 'come over too the office'], ['Dispatcher', 'you will need too keep that tx too show mr.Joy'], ['Dispatcher', 'are you coming too the office and what is your name please may i ask'], ['User', 'John Smith'], ['User', ""No I'm not coming to the office.""], ['Dispatcher', 'what hall are you in'], ['User', 'John Smith'], ['Dispatcher', 'please send your number for mr. Joy'], ['User', '1234567890'], ['Dispatcher', 'yes.. and room number'], ['User', '1234, 4567890'], ['Dispatcher', 'thanks.... you not coming too the office right'], ['User', ""No. I'm going to church""]]","The user, John Smith, was being stalked through social media and was unsure of what to do. The dispatcher asked for the user's location and name, and requested that the user come to the office to speak with Mr. Joy. The user declined, stating that they were going to church.
",10,EmergencyMessage,thanks.... you not coming too the office right,No. I'm going to church,"No I'm going to church 
"
